1. Dosya: DataSet Original/kedi\cat (1).jpg, Geniþlik: 500 piksel, Yükseklik: 430 piksel
2. Dosya: DataSet Original/kedi\cat (10).jpg, Geniþlik: 1024 piksel, Yükseklik: 686 piksel
3. Dosya: DataSet Original/kedi\cat (11).jpg, Geniþlik: 500 piksel, Yükseklik: 414 piksel
4. Dosya: DataSet Original/kedi\cat (12).jpg, Geniþlik: 1024 piksel, Yükseklik: 1021 piksel
5. Dosya: DataSet Original/kedi\cat (13).jpg, Geniþlik: 333 piksel, Yükseklik: 500 piksel
6. Dosya: DataSet Original/kedi\cat (14).jpg, Geniþlik: 192 piksel, Yükseklik: 380 piksel
7. Dosya: DataSet Original/kedi\cat (15).jpg, Geniþlik: 500 piksel, Yükseklik: 375 piksel
8. Dosya: DataSet Original/kedi\cat (16).jpg, Geniþlik: 1024 piksel, Yükseklik: 937 piksel
9. Dosya: DataSet Original/kedi\cat (17).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
10. Dosya: DataSet Original/kedi\cat (18).jpg, Geniþlik: 333 piksel, Yükseklik: 500 piksel
11. Dosya: DataSet Original/kedi\cat (19).jpg, Geniþlik: 500 piksel, Yükseklik: 399 piksel
12. Dosya: DataSet Original/kedi\cat (2).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
13. Dosya: DataSet Original/kedi\cat (20).jpg, Geniþlik: 1024 piksel, Yükseklik: 760 piksel
14. Dosya: DataSet Original/kedi\cat (21).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
15. Dosya: DataSet Original/kedi\cat (22).jpg, Geniþlik: 500 piksel, Yükseklik: 391 piksel
16. Dosya: DataSet Original/kedi\cat (23).jpg, Geniþlik: 500 piksel, Yükseklik: 375 piksel
17. Dosya: DataSet Original/kedi\cat (24).jpg, Geniþlik: 1024 piksel, Yükseklik: 935 piksel
18. Dosya: DataSet Original/kedi\cat (25).jpg, Geniþlik: 768 piksel, Yükseklik: 1024 piksel
19. Dosya: DataSet Original/kedi\cat (26).jpg, Geniþlik: 500 piksel, Yükseklik: 375 piksel
20. Dosya: DataSet Original/kedi\cat (27).jpg, Geniþlik: 500 piksel, Yükseklik: 500 piksel
21. Dosya: DataSet Original/kedi\cat (28).jpg, Geniþlik: 375 piksel, Yükseklik: 500 piksel
22. Dosya: DataSet Original/kedi\cat (29).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
23. Dosya: DataSet Original/kedi\cat (3).jpg, Geniþlik: 1024 piksel, Yükseklik: 682 piksel
24. Dosya: DataSet Original/kedi\cat (30).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
25. Dosya: DataSet Original/kedi\cat (31).jpg, Geniþlik: 682 piksel, Yükseklik: 1024 piksel
26. Dosya: DataSet Original/kedi\cat (32).jpg, Geniþlik: 993 piksel, Yükseklik: 1024 piksel
27. Dosya: DataSet Original/kedi\cat (33).jpg, Geniþlik: 768 piksel, Yükseklik: 1024 piksel
28. Dosya: DataSet Original/kedi\cat (34).jpg, Geniþlik: 500 piksel, Yükseklik: 375 piksel
29. Dosya: DataSet Original/kedi\cat (35).jpg, Geniþlik: 470 piksel, Yükseklik: 500 piksel
30. Dosya: DataSet Original/kedi\cat (36).jpg, Geniþlik: 500 piksel, Yükseklik: 484 piksel
31. Dosya: DataSet Original/kedi\cat (37).jpg, Geniþlik: 768 piksel, Yükseklik: 1024 piksel
32. Dosya: DataSet Original/kedi\cat (38).jpg, Geniþlik: 375 piksel, Yükseklik: 500 piksel
33. Dosya: DataSet Original/kedi\cat (39).jpg, Geniþlik: 375 piksel, Yükseklik: 500 piksel
34. Dosya: DataSet Original/kedi\cat (4).jpg, Geniþlik: 500 piksel, Yükseklik: 403 piksel
35. Dosya: DataSet Original/kedi\cat (40).jpg, Geniþlik: 333 piksel, Yükseklik: 500 piksel
36. Dosya: DataSet Original/kedi\cat (5).jpg, Geniþlik: 500 piksel, Yükseklik: 418 piksel
37. Dosya: DataSet Original/kedi\cat (6).jpg, Geniþlik: 500 piksel, Yükseklik: 374 piksel
38. Dosya: DataSet Original/kedi\cat (7).jpg, Geniþlik: 1024 piksel, Yükseklik: 768 piksel
39. Dosya: DataSet Original/kedi\cat (8).jpg, Geniþlik: 500 piksel, Yükseklik: 374 piksel
40. Dosya: DataSet Original/kedi\cat (9).jpg, Geniþlik: 500 piksel, Yükseklik: 497 piksel
En büyük resim: DataSet Original/kedi\cat (10).jpg, Geniþlik: 1024 piksel, Yükseklik: 686 piksel
En küçük resim: DataSet Original/kedi\cat (14).jpg, Geniþlik: 192 piksel, Yükseklik: 380 piksel
